seed,seed-to-soil,soil-to-fertilizer,fertilizer-to-water,water-to-light,light-to-temperature,temperature-to-humidity,humidity-to-location,location
"[range(1778931867, 3215931520)]","[range(1965922922, 2025731328), range(2319911431, 2367624034), range(1096820417, 1344806372), range(380961654, 552244781), range(2484064707, 2488189883), range(3012141182, 3038180364), range(2405817121, 2484064707), range(1480960140, 1787863383), range(1415163969, 1480960140), range(3142954188, 3464769604), range(2787890295, 2868076922), range(2760794134, 2787890295)]","[range(2654331234, 2682866937), range(2591415644, 2622688347), range(1550494963, 1598207566), range(94506330, 313046856), range(2622688347, 2652133776), range(1617020803, 1684582215), range(897092117, 897182429), range(1845085527, 1874175844), range(1952497963, 2027039049), range(3158614620, 3162739796), range(1446837353, 1472876535), range(3080367034, 3158614620), range(1599589242, 1617020803), range(1225995588, 1286334720), range(790747225, 897092117), range(3383720521, 3506508179), range(1160199417, 1225995588), range(313046856, 620916893), range(1078093899, 1092039278), range(712052916, 790747225), range(1301280775, 1302773093), range(48326246, 73845937), range(710476446, 712052916)]","[range(766912428, 795448131), range(2839327238, 2870599941), range(1474037451, 1521750054), range(2256462238, 2296640288), range(1819399513, 1839583416), range(1839583416, 1839611877), range(2573725164, 2731875276), range(2870599941, 2882664484), range(747334084, 764714970), range(1540563291, 1608124703), range(594107745, 594198057), range(1768628015, 1797718332), range(2891117242, 2965658328), range(1210197293, 1236236475), range(1523131730, 1540563291), range(1025753868, 1049694660), range(421802655, 458200995), range(1979844840, 2048518620), range(556436633, 594107745), range(3597352627, 3720140285), range(356006484, 421802655), range(2296640288, 2479218834), range(458200995, 550785854), range(1245823508, 1278530140), range(273900966, 287846345), range(1369666163, 1407216047), range(1938700415, 1979844840), range(1064640715, 1066133033), range(2527545080, 2553064771), range(1368089693, 1369666163), range(3158614620, 3162739796), range(3080367034, 3158614620)]","[range(1121043695, 1149579398), range(1341761198, 1363807094), range(2442003270, 2489715873), range(2411037472, 2422126367), range(1163953749, 1193042904), range(600512913, 620696816), range(620696816, 620725277), range(256693583, 376289577), range(1195755118, 1234309236), range(1101465351, 1118846237), range(2508529110, 2576090522), range(948239012, 948329324), range(549741415, 578831732), range(3715623981, 3722284203), range(1618888959, 1644928141), range(2491097549, 2508529110), range(1434445534, 1458386326), range(2347814084, 2384212424), range(2072267925, 2140941705), range(910567900, 948239012), range(3411309048, 3534096706), range(2313285969, 2347814084), range(410193852, 441461908), range(630498803, 648177882), range(0, 162187253), range(1193042904, 1195755118), range(2384212424, 2400937595), range(829057433, 904917121), range(1654515174, 1687221806), range(780856190, 794801569), range(1778357829, 1815907713), range(2031123500, 2072267925), range(1473332381, 1474824699), range(210513499, 236033190), range(1776781359, 1778357829), range(3158911896, 3163037072), range(3080664310, 3158911896), range(2861373134, 2870599941), range(2870599941, 2882664484), range(2891117242, 2958998106)]","[range(356025838, 363471570), range(1402393393, 1423483364), range(1318868111, 1340914007), range(4140333923, 4188046526), range(4109368125, 4120457020), range(377845921, 406935076), range(233297884, 241174491), range(1694295757, 1702426236), range(74539638, 75962377), range(241174491, 243928569), range(243928569, 243957030), range(1125021281, 1244617275), range(409647290, 448201408), range(65969304, 74539638), range(1391385383, 1400195935), range(4206859763, 4209195097), range(2397081497, 2462307575), range(1882595566, 1882685878), range(1643524259, 1672614576), range(3153894486, 3160554708), range(663093593, 689132775), range(4189428202, 4206859763), range(1427560425, 1451501217), range(4046144737, 4082543077), range(3770598578, 3839272358), range(1844924454, 1882595566), range(2195994218, 2261400527), range(3429019942, 3486401291), range(4011616622, 4046144737), range(1534043420, 1535244752), range(1278521550, 1308588274), range(253730556, 271409635), range(1003769840, 1030514951), range(868327698, 1003769840), range(406935076, 409647290), range(4082543077, 4099268248), range(1763413987, 1839273675), range(698719808, 731426440), range(124024482, 137969861), range(822562463, 860112347), range(3762250309, 3770598578), range(1466447272, 1467939590), range(1078841197, 1104360888), range(820985993, 822562463), range(2084481620, 2088606796), range(2690097300, 2747782922), range(2063919656, 2084481620), range(2911705545, 2920932352), range(2920932352, 2932996895), range(2941449653, 3009330517), range(2031123500, 2063919656)]","[range(115719721, 123165453), range(3749439701, 3797152304), range(3718473903, 3729562798), range(137539804, 166628959), range(0, 868374), range(911371281, 918379514), range(945850793, 947273532), range(868374, 3622452), range(3622452, 3650913), range(473673013, 593269007), range(169341173, 207895291), range(937280459, 945850793), range(3815965541, 3818300875), range(3380720931, 3387381153), range(1204465646, 1230504828), range(3798533980, 3815965541), range(3655250515, 3691648855), range(2856369549, 2925043329), range(3980547049, 4037928398), range(3620722400, 3655250515), range(13424439, 31103518), range(368848090, 379166683), range(893793625, 910220143), range(758351483, 893793625), range(166628959, 169341173), range(3691648855, 3708374026), range(1240091861, 1260149401), range(608801133, 621450225), range(995335637, 1009281016), range(712586248, 750136132), range(2848021280, 2856369549), range(427492929, 453012620), range(711009778, 712586248), range(3138531990, 3147758797), range(3147758797, 3159823340), range(3168276098, 3236156962), range(1402393393, 1423483364), range(1318868111, 1340914007), range(1694295757, 1702426236), range(1391385383, 1400195935), range(2397081497, 2462307575), range(1882595566, 1882685878), range(1643524259, 1672614576), range(1427560425, 1451501217), range(1844924454, 1882595566), range(2195994218, 2261400527), range(1534043420, 1535244752), range(1278521550, 1308588274), range(1763413987, 1839273675), range(1466447272, 1467939590), range(2084481620, 2088606796), range(2690097300, 2747782922), range(2063919656, 2084481620), range(2031123500, 2063919656)]","[range(139458337, 146904069), range(840681798, 869477198), range(3527214727, 3527298136), range(1082510516, 1101344310), range(3496248929, 3507337824), range(161278420, 185653149), range(267143672, 271858098), range(23738616, 24606990), range(1595653595, 1602661828), range(1630133107, 1631555846), range(24606990, 27361068), range(27361068, 27389529), range(185653149, 230013189), range(555163536, 630399490), range(274570312, 313124430), range(1621562773, 1630133107), range(888290435, 890625769), range(3958394611, 3965054833), range(1888747960, 1914787142), range(870858874, 888290435), range(3465042209, 3469423881), range(4232924195, 4264940863), range(3117251866, 3130048499), range(1101344310, 1157221457), range(1486681266, 1524964112), range(3218931241, 3238029744), range(4198396080, 4232924195), range(37163055, 54842134), range(450338613, 460657206), range(1578075939, 1594502457), range(1524964112, 1578075939), range(271858098, 274570312), range(3469423881, 3486149052), range(1924374175, 1944431715), range(245545315, 258194407), range(1679617951, 1693563330), range(3108903597, 3117251866), range(508983452, 534503143), range(3207180760, 3216407567), range(3216407567, 3218931241), range(3727956151, 3737497020), range(3745949778, 3813830642), range(2086675707, 2107765678), range(2003150425, 2025196321), range(1324918785, 1333049264), range(2075667697, 2084478249), range(2370337851, 2417730524), range(1064677111, 1082510516), range(3709005290, 3709095602), range(2327806573, 2340008493), range(1286349207, 1303237604), range(2111842739, 2135783531), range(3671334178, 3709005290), range(2843988480, 2909394789), range(2218325734, 2219527066), range(1962803864, 1992870588), range(3589823711, 3665683399), range(2150729586, 2152221904), range(2732475882, 2736601058), range(3151265904, 3206048776), range(3005762489, 3008665239), range(2711913918, 2732475882), range(2679117762, 2711913918), range(758351483, 840681798), range(712586248, 750136132), range(711009778, 712586248)]",23738616
"[range(3684516104, 3687275478)]","[range(2970257118, 2973016492)]","[range(1404953289, 1407712663)]","[range(1168313229, 1171072603)]","[range(1577004895, 1579764269)]","[range(621209529, 623968903)]","[range(1162581582, 1165340956)]","[range(1846863896, 1849623270)]",1846863896
"[range(1192793053, 1551558038)]","[range(693455216, 971365353), range(300106806, 380961654)]","[range(974611207, 1016347853), range(1825792650, 1845005529), range(2343323670, 2450037705), range(3273473944, 3383720521), range(1845005529, 1845085527), range(2220852473, 2301627323)]","[range(671626835, 713363481), range(1749335138, 1768548017), range(1893363918, 1938700415), range(0, 39376405), range(1871362785, 1893363918), range(4230781869, 4281943669), range(3538267850, 3597352627), range(1768548017, 1768628015), range(2048518620, 2103508002), range(2240569122, 2256462238), range(1839611877, 1849504229)]","[range(1025758102, 1067494748), range(530448538, 549661417), range(2030900500, 2031123500), range(2672292842, 2717406339), range(2149066749, 2188443154), range(2650291709, 2672292842), range(3368552624, 3411309048), range(4132184509, 4148512862), range(549661417, 549741415), range(2717406339, 2764270677), range(2140941705, 2149066749), range(700766684, 706559923), range(2400937595, 2411037472), range(2628314327, 2628433153), range(620725277, 630498803), range(4230781869, 4281943669)]","[range(0, 15908698), range(1711929372, 1737757320), range(1624231382, 1643444261), range(2497560353, 2514917193), range(2747782922, 2767738750), range(2188193389, 2195994218), range(3847397402, 3886773807), range(2166192256, 2188193389), range(3386263518, 3429019942), range(3719822200, 3736150553), range(1643444261, 1643524259), range(2767738750, 2814603088), range(3839272358, 3847397402), range(323998437, 329791676), range(4099268248, 4109368125), range(2144214874, 2144333700), range(243957030, 253730556), range(2602963333, 2654125133), range(2030900500, 2031123500)]","[range(321779731, 337688429), range(2933168373, 2972544778), range(3937790625, 3980547049), range(4271349307, 4287677660), range(2925043329, 2933168373), range(83692320, 89485559), range(3708374026, 3718473903), range(3650913, 13424439), range(1711929372, 1737757320), range(1624231382, 1643444261), range(2497560353, 2514917193), range(2747782922, 2767738750), range(2188193389, 2195994218), range(2166192256, 2188193389), range(1643444261, 1643524259), range(2767738750, 2814603088), range(2144214874, 2144333700), range(2602963333, 2654125133), range(2030900500, 2031123500)]","[range(403270254, 419178952), range(1165346501, 1204722906), range(1443924842, 1486681266), range(1157221457, 1165346501), range(107430936, 113224175), range(3486149052, 3496248929), range(27389529, 37163055), range(1342552400, 1368380348), range(2308513696, 2327726575), range(2452983302, 2470340142), range(3008665239, 3028621067), range(2836187651, 2843988480), range(2814186518, 2836187651), range(2327726575, 2327806573), range(3028621067, 3075485405), range(2792209136, 2792327962), range(959447279, 1010609079), range(2678894762, 2679117762), range(4271349307, 4287677660)]",27389529
"[range(1698790056, 1775159654)]","[range(2239769620, 2316139218)]","[range(2896905229, 2936246728), range(3630375808, 3636585470), range(1515904313, 1546722750)]","[range(960393738, 999735237), range(3207089921, 3213299583), range(1439446801, 1470265238)]","[range(1369085404, 1408426903), range(3207387197, 3213596859), range(1848138467, 1862852214), range(2422126367, 2438231057)]","[range(1346192317, 1385533816), range(3274709345, 3280919007), range(179246466, 193960213), range(4120457020, 4136561710)]","[range(3501535790, 3507745452), range(1050557621, 1065271368), range(3729562798, 3745667488), range(1346192317, 1385533816)]","[range(4079209470, 4085419132), range(1734839935, 1749553682), range(3507337824, 3523442514), range(2030474631, 2069816130)]",1734839935
"[range(3733854793, 3947862829)]","[range(3858979415, 4072987451)]","[range(4123129993, 4294967296), range(3743620838, 3785791571)]","[range(4032046578, 4134370427), range(3403024477, 3472537931), range(3320334951, 3362505684)]","[range(3845705723, 3948029572), range(3996941136, 4066454590), range(3320632227, 3362802960)]","[range(3486401291, 3517932898), range(4224175054, 4294967296), range(3584578827, 3654092281), range(3338343121, 3380513854)]","[range(4037928398, 4069460005), range(3833280832, 3904073074), range(4136105934, 4205619388), range(3565169566, 3579372412), range(3924298564, 3932040961), range(3915140668, 3924298564), range(3904073074, 3915140668)]","[range(3238029744, 3269561351), range(1384411009, 1410207291), range(905605726, 950601686), range(3336207280, 3405720734), range(4142843246, 4157046092), range(1430432781, 1438175178), range(1421274885, 1430432781), range(1410207291, 1421274885)]",905605726
"[range(4054174000, 4225376266)]","[range(3774943096, 3781933760), range(3477010674, 3641222276)]","[range(4039093674, 4046084338), range(2958483067, 2985421217), range(3642036795, 3716735006), range(633157963, 668355292), range(2027039049, 2040295599), range(3029434261, 3043555623)]","[range(3978679341, 3984576426), range(3507598768, 3508692347), range(122101104, 145256962), range(1021971576, 1025753868), range(3218750908, 3293449119), range(1290771210, 1325968539), range(2965658328, 2978914878), range(189270006, 203391368)]","[range(3036009887, 3041906972), range(4101515427, 4102609006), range(2271167853, 2294323711), range(1430663242, 1434445534), range(3219048184, 3293746395), range(1699462876, 1734660205), range(3722284203, 3735540753), range(1945910210, 1956244903), range(706559923, 710346592)]","[range(3086342298, 3092239383), range(3689153118, 3690246697), range(3969498506, 3992654364), range(1423778133, 1427560425), range(3286370332, 3318335889), range(3549539600, 3560395365), range(2514917193, 2546794082), range(743667510, 778864839), range(3160554708, 3173811258), range(580431853, 585133163), range(329791676, 333578345), range(1950611520, 1956244903)]","[range(3313168743, 3319065828), range(4240680225, 4241773804), range(3055269477, 3056037605), range(3579372412, 3601760142), range(3513196777, 3545162334), range(4101066707, 4111922472), range(633691295, 668888624), range(3387381153, 3400637703), range(1121803906, 1126505216), range(89485559, 93272228), range(1423778133, 1427560425), range(2514917193, 2546794082), range(1950611520, 1956244903)]","[range(3890842423, 3896739508), range(3440781571, 3441875150), range(2341106891, 2341875019), range(4157046092, 4179433822), range(4090870457, 4122836014), range(3301168053, 3312023818), range(3965054833, 3978311383), range(1806086220, 1810787530), range(113224175, 117010844), range(2108060447, 2111842739), range(2470340142, 2502217031), range(2598605782, 2604239165), range(633691295, 668888624)]",113224175
"[range(3630057255, 3656011650)]","[range(4262807116, 4288761511)]","[range(3975611236, 4001565631)]","[range(3915196903, 3941151298)]","[range(2972527449, 2998481844)]","[range(3022859860, 3048814255)]","[range(3249686305, 3275640700)]","[range(3827359985, 3853314380)]",3827359985
"[range(798587440, 1114914763)]","[range(98162531, 139237141), range(139237141, 222228516), range(2025731328, 2217992666)]","[range(953223806, 974611207), range(2040295599, 2059982808), range(2059982808, 2142974183), range(2682866937, 2875128275)]","[range(650239434, 671626835), range(2978914878, 2998602087), range(2998602087, 3062195006), range(2731875276, 2751273732), range(550785854, 556436633), range(878164447, 938616784), range(2123345793, 2192091098), range(795448131, 826187683), range(723239312, 747334084), range(826187683, 828766276)]","[range(1004370701, 1025758102), range(3735540753, 3755227962), range(3755227962, 3818820881), range(1234309236, 1253707692), range(904917121, 910567900), range(1956244903, 2014401856), range(2859077750, 2861373134), range(2784108468, 2848742995), range(648177882, 652288660), range(1862852214, 1879217415), range(1149579398, 1163953749), range(1077370579, 1101465351), range(1879217415, 1881796008)]","[range(1702426236, 1711929372), range(1938727255, 1950611520), range(3173811258, 3193498467), range(3193498467, 3257091386), range(448201408, 467599864), range(1839273675, 1844924454), range(2909410161, 2911705545), range(2834440879, 2899075406), range(271409635, 275520413), range(193960213, 210325414), range(363471570, 377845921), range(25784529, 43898462), range(59988465, 65969304), range(210325414, 212904007), range(1956244903, 2014401856)]","[range(3400637703, 3420324912), range(3420324912, 3483917831), range(207895291, 227293747), range(3136236606, 3138531990), range(3061267324, 3125901851), range(31103518, 35214296), range(1065271368, 1081636569), range(123165453, 137539804), range(347564260, 365678193), range(931299620, 937280459), range(1081636569, 1084215162), range(1702426236, 1711929372), range(1938727255, 1950611520), range(1839273675, 1844924454), range(1956244903, 2014401856)]","[range(3978311383, 3997998592), range(3997998592, 4061591511), range(313124430, 332522886), range(3206048776, 3207180760), range(3583233246, 3584396646), range(2347104738, 2366138910), range(3527298136, 3572898491), range(54842134, 58952912), range(1749553682, 1765918883), range(146904069, 161278420), range(429054783, 447168716), range(1615581934, 1621562773), range(1765918883, 1768497476), range(1333049264, 1342552400), range(2586721517, 2598605782), range(3665683399, 3671334178), range(2604239165, 2662396118)]",54842134
"[range(290129780, 297168903)]","[range(1821958119, 1828997242)]","[range(3540602915, 3547642038)]","[range(3737742548, 3744781671)]","[range(3551698969, 3558738092)]","[range(2279002790, 2286041913)]","[range(2279002790, 2286041913)]","[range(2926997052, 2934036175)]",2926997052
"[range(3334326492, 3580451883)]","[range(4167057552, 4213201744), range(2907785302, 2947958449), range(3038180364, 3142954188), range(3719908868, 3745883600), range(3745883600, 3774943096)]","[range(3879861672, 3926005864), range(1342481473, 1382654620), range(1016347853, 1078093899), range(1472876535, 1515904313), range(4007771416, 4010034178), range(4010034178, 4039093674), range(3719908868, 3743620838)]","[range(3819447339, 3865591531), range(1105841413, 1146014560), range(222030751, 273900966), range(713363481, 723239312), range(1236236475, 1245823508), range(2882664484, 2883874475), range(1407216047, 1439446801), range(3947357083, 3949619845), range(3949619845, 3978679341), range(3296622981, 3320334951)]","[range(3633403760, 3679547952), range(1514533079, 1554706226), range(728985975, 780856190), range(1067494748, 1077370579), range(1644928141, 1654515174), range(1815907713, 1848138467), range(3004687629, 3006950391), range(3006950391, 3036009887), range(3296920257, 3320632227), range(2882664484, 2883874475)]","[range(3108048181, 3117818457), range(2360707581, 2397081497), range(1507647970, 1534043420), range(585133163, 598910860), range(352217728, 356025838), range(75962377, 124024482), range(15908698, 25784529), range(689132775, 698719808), range(155231063, 179246466), range(860112347, 868327698), range(3055020040, 3057282802), range(3057282802, 3086342298), range(3318335889, 3338343121), range(3563569227, 3567273965), range(2932996895, 2934206886)]","[range(3334874626, 3344644902), range(1126505216, 1140282913), range(111911611, 115719721), range(947273532, 995335637), range(337688429, 347564260), range(1230504828, 1240091861), range(1026542218, 1050557621), range(750136132, 758351483), range(3281846485, 3284109247), range(3284109247, 3313168743), range(3545162334, 3565169566), range(4115096334, 4118801072), range(3159823340, 3161033331), range(2360707581, 2397081497), range(1507647970, 1534043420)]","[range(3912548306, 3922318582), range(1810787530, 1824565227), range(135650227, 139458337), range(1631555846, 1679617951), range(419178952, 429054783), range(1914787142, 1924374175), range(1710824532, 1734839935), range(3859520165, 3861782927), range(3861782927, 3890842423), range(4122836014, 4142843246), range(3315197680, 3318902418), range(3737497020, 3738707011), range(1028303195, 1064677111), range(2191930284, 2218325734), range(750136132, 758351483)]",135650227
